OTRD_ID;OTRD_OTR_ID_ObjectTypeRelatinship;OTRD_OTR_ID_ConditionalObjectTypeRelationship;OTRD_RDT_ID_RelationshipDependencyType;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
1680;2218;2271;1;SAMRUMUser;2009-10-16 21:13:35.313;SAMRUMUser;2009-10-16 21:13:35.313;0x00000000000308CD
1681;2218;2272;1;SAMRUMUser;2009-10-16 21:14:57.270;SAMRUMUser;2009-10-16 21:14:57.270;0x00000000000308D3
1682;2218;2273;1;SAMRUMUser;2009-10-16 21:16:12.690;SAMRUMUser;2009-10-16 21:16:12.690;0x00000000000308D8
1686;1713;1714;1;SAMRUMUser;2009-10-20 12:25:58.317;SAMRUMUser;2009-10-20 12:25:58.317;0x0000000000030935
1687;1713;1715;1;SAMRUMUser;2009-10-20 12:26:37.677;SAMRUMUser;2009-10-20 12:26:37.677;0x0000000000030939
1697;1821;1822;1;SAMRUMUser;2009-10-27 12:26:06.747;SAMRUMUser;2009-10-27 12:26:06.747;0x00000000000309EF
1698;2064;2280;1;SAMRUMUser;2009-11-11 08:29:03.480;SAMRUMUser;2009-11-11 08:29:03.480;0x0000000000030C5D
1699;2064;2072;1;SAMRUMUser;2009-11-11 08:30:36.967;SAMRUMUser;2009-11-11 08:30:36.967;0x0000000000030C61
1700;2116;2283;1;SAMRUMUser;2009-11-11 10:18:19.667;SAMRUMUser;2009-11-11 10:18:19.667;0x0000000000030CD3
1702;1767;1763;1;SAMRUMUser;2009-11-11 11:29:48.127;SAMRUMUser;2009-11-11 11:29:48.127;0x0000000000030CDA
1703;1767;1911;1;SAMRUMUser;2009-11-11 11:30:20.750;SAMRUMUser;2009-11-11 11:30:20.750;0x0000000000030CDB
1704;402;1758;1;SAMRUMUser;2009-11-11 11:31:42.733;SAMRUMUser;2009-11-11 11:31:42.733;0x0000000000030CDC
1705;402;1760;1;SAMRUMUser;2009-11-11 11:32:15.080;SAMRUMUser;2009-11-11 11:32:15.080;0x0000000000030CDD
1706;402;1759;1;SAMRUMUser;2009-11-11 11:32:49.610;SAMRUMUser;2009-11-11 11:32:49.610;0x0000000000030CDE
1707;402;1910;1;SAMRUMUser;2009-11-11 11:33:24.360;SAMRUMUser;2009-11-11 11:33:24.360;0x0000000000030CDF
1708;1968;1992;1;SAMRUMUser;2009-11-11 11:33:59.190;SAMRUMUser;2009-11-11 11:33:59.190;0x0000000000030CE0
1709;1968;1993;1;SAMRUMUser;2009-11-11 12:04:55.743;SAMRUMUser;2009-11-11 12:04:55.743;0x0000000000030CE1
1710;1968;1994;1;SAMRUMUser;2009-11-11 12:05:41.540;SAMRUMUser;2009-11-11 12:05:41.540;0x0000000000030CE2
1711;1968;1995;1;SAMRUMUser;2009-11-11 12:07:19.103;SAMRUMUser;2009-11-11 12:07:19.103;0x0000000000030CE3
1712;372;1764;1;SAMRUMUser;2009-11-11 12:07:56.620;SAMRUMUser;2009-11-11 12:07:56.620;0x0000000000030CE4
1713;373;1765;1;SAMRUMUser;2009-11-11 12:09:05.370;SAMRUMUser;2009-11-11 12:09:05.370;0x0000000000030CE5
1717;1795;1797;1;SAMRUMUser;2009-11-11 12:11:53.920;SAMRUMUser;2009-11-11 12:11:53.920;0x0000000000030CE9
1718;378;1795;1;SAMRUMUser;2009-11-11 12:12:29.433;SAMRUMUser;2009-11-11 12:12:29.433;0x0000000000030CEA
1719;2031;2052;1;SAMRUMUser;2009-11-11 12:16:44.657;SAMRUMUser;2009-11-11 12:16:44.657;0x0000000000030CEB
1720;2052;2275;1;SAMRUMUser;2009-11-11 12:17:49.043;SAMRUMUser;2009-11-11 12:17:49.043;0x0000000000030CEF
1774;1767;2321;1;SAMRUMUser;2010-01-04 11:12:05.143;SAMRUMUser;2010-01-04 11:12:05.143;0x0000000000031311
1793;402;2322;1;SAMRUMUser;2010-01-05 09:31:26.157;SAMRUMUser;2010-01-05 09:31:26.157;0x00000000000313B7
1806;2306;2328;1;SAMRUMUser;2010-01-05 10:35:03.893;SAMRUMUser;2010-01-05 10:35:03.893;0x0000000000031413
1810;1982;2331;1;SAMRUMUser;2010-01-06 15:29:28.167;SAMRUMUser;2010-01-06 15:29:28.167;0x0000000000031466
1813;372;2324;1;SAMRUMUser;2010-01-06 17:19:48.180;SAMRUMUser;2010-01-06 17:19:48.180;0x00000000000314B0
1814;373;2325;1;SAMRUMUser;2010-01-06 17:22:41.447;SAMRUMUser;2010-01-06 17:22:41.447;0x00000000000314B4
1865;1295;2361;1;SAMRUMUser;2010-01-14 19:41:12.957;SAMRUMUser;2010-01-14 19:41:12.957;0x0000000000031846
