PMO_ID;PMO_Name;PMO_Description;PMO_AllowIncompleteVersions;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp;PMO_PMF_ID_ProjectModuleFolder
167;Underhåll dörrar;NULL;0;SAMRUMUser;2010-08-06 10:08:24.520;SAMRUMUser;2010-08-06 10:08:24.520;0x0000000000036BFA;4
169;1.02 Avdelningar och typutrymmen;NULL;0;SAMRUMUser;2011-01-20 20:26:45.330;SAMRUMUser;2017-01-23 10:05:11.400;0x0000000000065D47;55
171;2.151 Gränsdragningslista lös inredning;NULL;0;SAMRUMUser;2011-02-24 12:44:20.850;SAMRUMUser;2017-02-24 11:20:07.127;0x0000000000067C09;44
172;Låssmed låsschema;NULL;0;SAMRUMUser;2011-03-02 09:06:27.720;SAMRUMUser;2011-03-02 09:06:27.720;0x000000000003A115;29
173;Dörrar A och Teknik;NULL;0;SAMRUMUser;2011-03-19 17:38:00.867;SAMRUMUser;2011-03-19 17:38:00.867;0x000000000003A5C8;14
174;Beskrivning V;NULL;0;SAMRUMUser;2011-05-02 11:50:43.477;SAMRUMUser;2017-04-15 22:59:51.870;0x000000000006ABB0;69
175;Förfrågan från Byggherre;NULL;0;SAMRUMUser;2011-05-31 21:12:09.040;SAMRUMUser;2011-06-09 09:48:24.930;0x000000000003D8FB;32
176;Anbud till Byggherre;NULL;0;SAMRUMUser;2011-05-31 21:12:38.620;SAMRUMUser;2011-06-09 09:48:49.737;0x000000000003D8FD;32
177;SBA, Dörrar, skyltar mm.;NULL;0;SAMRUMUser;2011-06-02 14:21:45.983;SAMRUMUser;2011-06-02 14:21:45.983;0x000000000003D64F;28
178;Ventilation;NULL;0;SAMRUMUser;2011-06-21 14:15:06.727;SAMRUMUser;2017-04-15 22:59:58.027;0x000000000006ABB2;69
179;3.64 Ventilation IFC;NULL;0;SAMRUMUser;2011-07-02 08:03:02.303;SAMRUMUser;2017-04-15 22:59:44.513;0x000000000006ABAE;69
180;Injustering luft IFC;NULL;0;SAMRUMUser;2011-07-02 08:04:42.820;SAMRUMUser;2017-04-16 09:07:14.133;0x000000000006ABCC;75
181;4.61 Styr leveransdata;NULL;0;SAMRUMUser;2011-07-06 18:51:57.953;SAMRUMUser;2017-04-16 09:05:25.453;0x000000000006ABBA;72
182;3.23 Brandskyddsdokumentation;NULL;0;SAMRUMUser;2011-09-23 11:29:22.130;SAMRUMUser;2013-09-03 14:16:54.147;0x00000000000489FF;11
183;Pärmsystem;NULL;0;SAMRUMUser;2011-09-25 08:45:17.813;SAMRUMUser;2011-09-25 09:23:18.967;0x000000000003F7EB;26
184;Fastighetsdata;Generella uppgifter för fastigheten, se norska BIM-manualen;0;SAMRUMUser;2011-09-26 10:53:15.367;SAMRUMUser;2012-05-07 20:48:46.590;0x0000000000041BFA;9
185;3.24 Underlag för slutintyg (Brandskyddsingenjör);NULL;0;SAMRUMUser;2011-10-10 11:12:04.150;SAMRUMUser;2015-02-16 21:30:50.870;0x000000000004D8AF;11
186;Underlag till slutintyg brand (Entreprenör);NULL;0;SAMRUMUser;2011-10-10 11:18:03.513;SAMRUMUser;2017-04-15 22:20:52.513;0x000000000006AB52;58
187;3.22a Brandskyddstekn.funkt, separat;NULL;0;SAMRUMUser;2011-11-28 16:28:06.830;SAMRUMUser;2013-09-03 14:16:23.780;0x00000000000489FD;11
188;1. Inredningsinventering;NULL;0;SAMRUMUser;2011-12-04 21:08:26.500;SAMRUMUser;2014-05-02 21:17:20.367;0x000000000004B5F8;44
189;Håltagning;NULL;0;SAMRUMUser;2012-01-19 19:50:11.833;SAMRUMUser;2012-01-19 19:50:11.833;0x0000000000040F06;2
190;Areasammanställningar;För att ta fram olika typer av areaor, BTA, typer av ytor mm.;0;SAMRUMUser;2012-05-07 20:46:21.217;SAMRUMUser;2012-05-07 20:50:22.927;0x0000000000041BFC;9
191;3.65 Energideklaration projekterade värden;NULL;0;SAMRUMUser;2012-05-07 20:46:58.243;SAMRUMUser;2017-04-15 23:00:42.100;0x000000000006ABB4;70
192;4.65 Energideklaration uppmätta värden;NULL;0;SAMRUMUser;2012-05-08 14:17:24.507;SAMRUMUser;2017-04-16 09:06:25.250;0x000000000006ABC4;76
193;Test Ritningsarkiv;NULL;0;SAMRUMUser;2012-06-03 19:48:52.870;SAMRUMUser;2012-06-03 19:48:52.870;0x0000000000042B18;NULL
194;Färdigstallande bygg;NULL;0;SAMRUMUser;2012-06-16 17:32:31.690;SAMRUMUser;2017-04-16 09:08:28.637;0x000000000006ABD2;57
