OTRM_ID;OTRM_OTR_ID_ObjectTypeRelationship;OTRM_PMO_ID_Module;OTRM_ReadOnly;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
4024;1331;77;1;SAMRUMDev;2008-05-01 20:35:10.890;SAMRUMDev;2008-05-01 20:35:10.890;0x00000000000159AC
4025;1332;75;0;SAMRUMDev;2008-05-01 20:35:31.343;SAMRUMDev;2008-05-01 20:35:31.343;0x00000000000159AD
4026;1332;77;1;SAMRUMDev;2008-05-01 20:35:31.343;SAMRUMDev;2008-05-01 20:35:31.343;0x00000000000159AE
4027;1337;75;0;SAMRUMDev;2008-05-01 20:35:46.263;SAMRUMDev;2008-05-01 20:35:46.263;0x00000000000159AF
4028;1337;77;1;SAMRUMDev;2008-05-01 20:35:46.263;SAMRUMDev;2008-05-01 20:35:46.263;0x00000000000159B0
4037;1342;75;1;SAMRUMDev;2008-05-01 20:41:23.683;SAMRUMDev;2008-05-01 20:41:23.683;0x00000000000159C5
4038;1342;77;0;SAMRUMDev;2008-05-01 20:41:23.683;SAMRUMDev;2008-05-01 20:41:23.683;0x00000000000159C6
4039;1343;77;0;SAMRUMDev;2008-05-01 20:43:18.843;SAMRUMDev;2008-05-01 20:43:18.843;0x00000000000159CC
4051;1348;77;0;SAMRUMDev;2008-05-02 07:46:54.310;SAMRUMDev;2008-05-02 07:46:54.310;0x0000000000015A24
4052;1349;77;0;SAMRUMDev;2008-05-02 07:52:35.170;SAMRUMDev;2008-05-02 07:52:35.170;0x0000000000015A2C
4054;1350;77;0;SAMRUMDev;2008-05-02 08:07:50.810;SAMRUMDev;2008-05-02 08:07:50.810;0x0000000000015A33
4082;1355;79;0;SAMRUMDev;2008-05-02 09:12:34.170;SAMRUMDev;2008-05-02 09:12:34.170;0x0000000000015A8D
4083;1356;79;0;SAMRUMDev;2008-05-02 09:13:33.483;SAMRUMDev;2008-05-02 09:13:33.483;0x0000000000015A91
4084;1357;79;0;SAMRUMDev;2008-05-02 09:14:22.217;SAMRUMDev;2008-05-02 09:14:22.217;0x0000000000015A95
4240;1381;75;0;SAMRUMDev;2008-05-02 11:16:17.547;SAMRUMDev;2008-05-02 11:16:17.547;0x0000000000015C02
4241;1382;75;0;SAMRUMDev;2008-05-02 11:16:57.560;SAMRUMDev;2008-05-02 11:16:57.560;0x0000000000015C06
4242;1383;75;0;SAMRUMDev;2008-05-02 11:17:41.920;SAMRUMDev;2008-05-02 11:17:41.920;0x0000000000015C0A
4243;1384;75;0;SAMRUMDev;2008-05-02 11:18:29.450;SAMRUMDev;2008-05-02 11:18:29.450;0x0000000000015C0E
4244;1385;75;0;SAMRUMDev;2008-05-02 11:19:39.793;SAMRUMDev;2008-05-02 11:19:39.793;0x0000000000015C12
4245;1386;75;0;SAMRUMDev;2008-05-02 11:20:52.560;SAMRUMDev;2008-05-02 11:20:52.560;0x0000000000015C16
4311;1333;68;1;SAMRUMDev;2008-05-02 16:21:19.437;SAMRUMDev;2008-05-02 16:21:19.437;0x0000000000015CDD
4312;1333;75;0;SAMRUMDev;2008-05-02 16:21:19.437;SAMRUMDev;2008-05-02 16:21:19.437;0x0000000000015CDE
4313;1333;77;1;SAMRUMDev;2008-05-02 16:21:19.437;SAMRUMDev;2008-05-02 16:21:19.437;0x0000000000015CDF
4317;1338;68;1;SAMRUMDev;2008-05-02 16:22:17.153;SAMRUMDev;2008-05-02 16:22:17.153;0x0000000000015CE3
4318;1338;75;0;SAMRUMDev;2008-05-02 16:22:17.153;SAMRUMDev;2008-05-02 16:22:17.153;0x0000000000015CE4
4319;1338;77;1;SAMRUMDev;2008-05-02 16:22:17.153;SAMRUMDev;2008-05-02 16:22:17.153;0x0000000000015CE5
4320;1339;68;1;SAMRUMDev;2008-05-02 16:22:49.887;SAMRUMDev;2008-05-02 16:22:49.887;0x0000000000015CE6
